norm_stdev r_source r_in r_out "rIn - r" "rOut - rIn"
0.008727579053562532 1.0 4.0 7.0 3.0 3.0
0.008718272887586915 1.0 4.0 8.0 3.0 4.0
0.00871165464940591 1.0 4.0 9.0 3.0 5.0
0.008704179835688514 1.0 4.0 10.0 3.0 6.0
0.008697271208646747 1.0 4.0 11.0 3.0 7.0
0.008692909336007294 1.0 4.0 12.0 3.0 8.0
0.00870208499485311 1.0 5.0 7.0 4.0 2.0
0.00870046891837402 1.0 5.0 8.0 4.0 3.0
0.008698217338306094 1.0 5.0 9.0 4.0 4.0
0.008693263301145542 1.0 5.0 10.0 4.0 5.0
0.008688101352495876 1.0 5.0 11.0 4.0 6.0
0.00868518036503971 1.0 5.0 12.0 4.0 7.0
0.00868771246493275 1.0 6.0 7.0 5.0 1.0
0.008693190836274145 1.0 6.0 8.0 5.0 2.0
0.008693160944522603 1.0 6.0 9.0 5.0 3.0
0.008688864824506244 1.0 6.0 10.0 5.0 4.0
0.00868408660231684 1.0 6.0 11.0 5.0 5.0
0.008681742430972451 1.0 6.0 12.0 5.0 6.0
0.008697911783084947 1.0 7.0 8.0 6.0 1.0
0.008695453083641797 1.0 7.0 9.0 6.0 2.0
0.008689128815224009 1.0 7.0 10.0 6.0 3.0
0.008683326242250827 1.0 7.0 11.0 6.0 4.0
0.008680867690387882 1.0 7.0 12.0 6.0 5.0
0.00869331248727031 1.0 8.0 9.0 7.0 1.0
0.008685374083923962 1.0 8.0 10.0 7.0 2.0
0.008679440669870402 1.0 8.0 11.0 7.0 3.0
0.00867764473684949 1.0 8.0 12.0 7.0 4.0
0.008678393322032782 1.0 9.0 10.0 8.0 1.0
0.008673631315114344 1.0 9.0 11.0 8.0 2.0
0.008673491828467248 1.0 9.0 12.0 8.0 3.0
0.0035815330562605774 2.0 4.0 7.0 2.0 3.0
0.00357588733557071 2.0 4.0 8.0 2.0 4.0
0.0035729028168113687 2.0 4.0 9.0 2.0 5.0
0.003564683583769553 2.0 4.0 10.0 2.0 6.0
0.0035557622177097704 2.0 4.0 11.0 2.0 7.0
0.00355234466270595 2.0 4.0 12.0 2.0 8.0
0.003543581050979172 2.0 5.0 7.0 3.0 2.0
0.0035513372251661968 2.0 5.0 8.0 3.0 3.0
0.003555514683515145 2.0 5.0 9.0 3.0 4.0
0.003550829704914244 2.0 5.0 10.0 3.0 5.0
0.003544110837795969 2.0 5.0 11.0 3.0 6.0
0.003542684697465311 2.0 5.0 12.0 3.0 7.0
0.0035114152188973854 2.0 6.0 7.0 4.0 1.0
0.0035398015720357356 2.0 6.0 8.0 4.0 2.0
0.003549419232536014 2.0 6.0 9.0 4.0 3.0
0.0035457932243039047 2.0 6.0 10.0 4.0 4.0
0.003539385479679718 2.0 6.0 11.0 4.0 5.0
0.003538821344429058 2.0 6.0 12.0 4.0 6.0
0.003566756293795246 2.0 7.0 8.0 5.0 1.0
0.0035662523226786813 2.0 7.0 9.0 5.0 2.0
0.0035554714773253174 2.0 7.0 10.0 5.0 3.0
0.0035452087073865393 2.0 7.0 11.0 5.0 4.0
0.0035432637291945178 2.0 7.0 12.0 5.0 5.0
0.0035676482409778467 2.0 8.0 9.0 6.0 1.0
0.003551915550061421 2.0 8.0 10.0 6.0 2.0
0.003540387936230443 2.0 8.0 11.0 6.0 3.0
0.003539576551737883 2.0 8.0 12.0 6.0 4.0
0.003539040040952302 2.0 9.0 10.0 7.0 1.0
0.0035297690548613727 2.0 9.0 11.0 7.0 2.0
0.003532808968163965 2.0 9.0 12.0 7.0 3.0
0.0024796263643061312 3.0 4.0 7.0 1.0 3.0
0.0024746089876649543 3.0 4.0 8.0 1.0 4.0
0.0024770330669237946 3.0 4.0 9.0 1.0 5.0
0.0024686858481876685 3.0 4.0 10.0 1.0 6.0
0.0024604188346410536 3.0 4.0 11.0 1.0 7.0
0.0024640407222875876 3.0 4.0 12.0 1.0 8.0
0.0024558303457378177 3.0 5.0 7.0 2.0 2.0
0.002459479515566567 3.0 5.0 8.0 2.0 3.0
0.002467528761491135 3.0 5.0 9.0 2.0 4.0
0.0024611190381396255 3.0 5.0 10.0 2.0 5.0
0.0024538674466451607 3.0 5.0 11.0 2.0 6.0
0.002459186204328617 3.0 5.0 12.0 2.0 7.0
0.0024170165703620936 3.0 6.0 7.0 3.0 1.0
0.002444850500380458 3.0 6.0 8.0 3.0 2.0
0.0024611821386470137 3.0 6.0 9.0 3.0 3.0
0.002455699069578936 3.0 6.0 10.0 3.0 4.0
0.00244908325046611 3.0 6.0 11.0 3.0 5.0
0.0024562335281942058 3.0 6.0 12.0 3.0 6.0
0.002484542280223368 3.0 7.0 8.0 4.0 1.0
0.002487747357925945 3.0 7.0 9.0 4.0 2.0
0.0024718039361292235 3.0 7.0 10.0 4.0 3.0
0.0024600690674156846 3.0 7.0 11.0 4.0 4.0
0.002466062972217797 3.0 7.0 12.0 4.0 5.0
0.002500760146847768 3.0 8.0 9.0 5.0 1.0
0.002473297487221537 3.0 8.0 10.0 5.0 2.0
0.0024586210231019173 3.0 8.0 11.0 5.0 3.0
0.002466424582993836 3.0 8.0 12.0 5.0 4.0
0.0024554067464433024 3.0 9.0 10.0 6.0 1.0
0.0024455569949677035 3.0 9.0 11.0 6.0 2.0
0.00246128408434183 3.0 9.0 12.0 6.0 3.0
0.0025589869674016944 4.0 5.0 7.0 1.0 2.0
0.0025623533674959194 4.0 5.0 8.0 1.0 3.0
0.0025757508906081653 4.0 5.0 9.0 1.0 4.0
0.0025663653568682586 4.0 5.0 10.0 1.0 5.0
0.0025536752369285814 4.0 5.0 11.0 1.0 6.0
0.00255999150602238 4.0 5.0 12.0 1.0 7.0
0.00251185781162431 4.0 6.0 7.0 2.0 1.0
0.0025464614996792367 4.0 6.0 8.0 2.0 2.0
0.0025703564690784473 4.0 6.0 9.0 2.0 3.0
0.0025617240031360427 4.0 6.0 10.0 2.0 4.0
0.0025493175232007997 4.0 6.0 11.0 2.0 5.0
0.0025576338784205305 4.0 6.0 12.0 2.0 6.0
0.0026166115753927088 4.0 7.0 8.0 3.0 1.0
0.002616941298216782 4.0 7.0 9.0 3.0 2.0
0.0025912325992038577 4.0 7.0 10.0 3.0 3.0
0.0025701991760411205 4.0 7.0 11.0 3.0 4.0
0.002575841900674865 4.0 7.0 12.0 3.0 5.0
0.0026434359555314677 4.0 8.0 9.0 4.0 1.0
0.0025979912128920274 4.0 8.0 10.0 4.0 2.0
0.0025705575249757935 4.0 8.0 11.0 4.0 3.0
0.002578118186048296 4.0 8.0 12.0 4.0 4.0
0.0025737784720148657 4.0 9.0 10.0 5.0 1.0
0.0025519416780572907 4.0 9.0 11.0 5.0 2.0
0.0025716337347978205 4.0 9.0 12.0 5.0 3.0
0.0026077988699796354 5.0 6.0 7.0 1.0 1.0
0.0026092712669104224 5.0 6.0 8.0 1.0 2.0
0.002633822787494549 5.0 6.0 9.0 1.0 3.0
0.002617281124263452 5.0 6.0 10.0 1.0 4.0
0.002596072426051018 5.0 6.0 11.0 1.0 5.0
0.002608549533263247 5.0 6.0 12.0 1.0 6.0
0.002705329213723534 5.0 7.0 8.0 2.0 1.0
0.00269864320887779 5.0 7.0 9.0 2.0 2.0
0.0026594555197061304 5.0 7.0 10.0 2.0 3.0
0.0026275788679386816 5.0 7.0 11.0 2.0 4.0
0.0026370804646822944 5.0 7.0 12.0 2.0 5.0
0.0027518779741358534 5.0 8.0 9.0 3.0 1.0
0.002679161376615788 5.0 8.0 10.0 3.0 2.0
0.002636108439092147 5.0 8.0 11.0 3.0 3.0
0.0026470317074059487 5.0 8.0 12.0 3.0 4.0
0.0026522776482100197 5.0 9.0 10.0 4.0 1.0
0.0026150542416649566 5.0 9.0 11.0 4.0 2.0
0.0026435764895194657 5.0 9.0 12.0 4.0 3.0
0.0028568972914825436 6.0 7.0 8.0 1.0 1.0
0.0028224204448088243 6.0 7.0 9.0 1.0 2.0
0.002762055955313093 6.0 7.0 10.0 1.0 3.0
0.0027226583046254297 6.0 7.0 11.0 1.0 4.0
0.0027362495837613505 6.0 7.0 12.0 1.0 5.0
0.0029069615462408295 6.0 8.0 9.0 2.0 1.0
0.002798582557338362 6.0 8.0 10.0 2.0 2.0
0.0027431303838063056 6.0 8.0 11.0 2.0 3.0
0.002757649141557683 6.0 8.0 12.0 2.0 4.0
0.002776017346081914 6.0 9.0 10.0 3.0 1.0
0.0027283341019929907 6.0 9.0 11.0 3.0 2.0
0.0027660562666425954 6.0 9.0 12.0 3.0 3.0
