norm_stdev r_source r_in r_out "rIn - r" "rOut - rIn"
0.0013527086844432323 52.0 62.0 72.0 10.0 10.0
0.0013463989289535841 52.0 62.0 74.0 10.0 12.0
0.0013418444332195007 52.0 62.0 76.0 10.0 14.0
0.0013384217605903852 52.0 62.0 78.0 10.0 16.0
0.0013368747565935624 52.0 62.0 80.0 10.0 18.0
0.0013348055551940482 52.0 62.0 82.0 10.0 20.0
0.0013331905820252858 52.0 62.0 84.0 10.0 22.0
0.0013318142819015906 52.0 62.0 86.0 10.0 24.0
0.001331009174434832 52.0 62.0 88.0 10.0 26.0
0.0013454345683661239 52.0 64.0 72.0 12.0 8.0
0.0013400089846325393 52.0 64.0 74.0 12.0 10.0
0.0013362488746280227 52.0 64.0 76.0 12.0 12.0
0.0013335164871632681 52.0 64.0 78.0 12.0 14.0
0.001332671895992294 52.0 64.0 80.0 12.0 16.0
0.0013310805176636302 52.0 64.0 82.0 12.0 18.0
0.0013298443920700008 52.0 64.0 84.0 12.0 20.0
0.0013288298259031444 52.0 64.0 86.0 12.0 22.0
0.0013283302690163205 52.0 64.0 88.0 12.0 24.0
0.0013400812097490301 52.0 66.0 72.0 14.0 6.0
0.0013350767326137764 52.0 66.0 74.0 14.0 8.0
0.001331863060689336 52.0 66.0 76.0 14.0 10.0
0.001329687038696437 52.0 66.0 78.0 14.0 12.0
0.0013293996679028255 52.0 66.0 80.0 14.0 14.0
0.0013281651378480883 52.0 66.0 82.0 14.0 16.0
0.0013272736017866358 52.0 66.0 84.0 14.0 18.0
0.0013265428437013059 52.0 66.0 86.0 14.0 20.0
0.0013263129204335053 52.0 66.0 88.0 14.0 22.0
0.0013363648395315864 52.0 68.0 72.0 16.0 4.0
0.0013314470523939001 52.0 68.0 74.0 16.0 6.0
0.0013286096638514319 52.0 68.0 76.0 16.0 8.0
0.0013268960245285495 52.0 68.0 78.0 16.0 10.0
0.0013272239426386787 52.0 68.0 80.0 16.0 12.0
0.0013263043674430959 52.0 68.0 82.0 16.0 14.0
0.0013256453688408557 52.0 68.0 84.0 16.0 16.0
0.0013251018982694187 52.0 68.0 86.0 16.0 18.0
0.0013250848229860248 52.0 68.0 88.0 16.0 20.0
0.001331440474766733 52.0 70.0 72.0 18.0 2.0
0.0013270042288983197 52.0 70.0 74.0 18.0 4.0
0.0013250506889960702 52.0 70.0 76.0 18.0 6.0
0.0013240204847219717 52.0 70.0 78.0 18.0 8.0
0.00132508575125666 52.0 70.0 80.0 18.0 10.0
0.001324491577896753 52.0 70.0 82.0 18.0 12.0
0.0013241119026285153 52.0 70.0 84.0 18.0 14.0
0.0013237832000967623 52.0 70.0 86.0 18.0 16.0
0.0013239824228163074 52.0 70.0 88.0 18.0 18.0
0.0013242668449043628 52.0 72.0 74.0 20.0 2.0
0.0013231791352322898 52.0 72.0 76.0 20.0 4.0
0.0013225748710021332 52.0 72.0 78.0 20.0 6.0
0.001324313625601975 52.0 72.0 80.0 20.0 8.0
0.0013238391970322595 52.0 72.0 82.0 20.0 10.0
0.00132358993613273 52.0 72.0 84.0 20.0 12.0
0.0013233686550426695 52.0 72.0 86.0 20.0 14.0
0.0013237079066610287 52.0 72.0 88.0 20.0 16.0
0.0013238892896665392 52.0 74.0 76.0 22.0 2.0
0.0013226236909195483 52.0 74.0 78.0 22.0 4.0
0.0013249947962103211 52.0 74.0 80.0 22.0 6.0
0.0013242940155600328 52.0 74.0 82.0 22.0 8.0
0.0013239883340462927 52.0 74.0 84.0 22.0 10.0
0.0013237566421509272 52.0 74.0 86.0 22.0 12.0
0.0013241534787073292 52.0 74.0 88.0 22.0 14.0
0.0013232043919465147 52.0 76.0 78.0 24.0 2.0
0.0013267295386303337 52.0 76.0 80.0 24.0 4.0
0.0013252965914069758 52.0 76.0 82.0 24.0 6.0
0.001324715135835361 52.0 76.0 84.0 24.0 8.0
0.0013243618862242327 52.0 76.0 86.0 24.0 10.0
0.001324794438082444 52.0 76.0 88.0 24.0 12.0
0.0013318555579711576 52.0 78.0 80.0 26.0 2.0
0.0013271279330866164 52.0 78.0 82.0 26.0 4.0
0.0013257945292109033 52.0 78.0 84.0 26.0 6.0
0.0013251239905377307 52.0 78.0 86.0 26.0 8.0
0.001325568167778349 52.0 78.0 88.0 26.0 10.0
0.0013375369642778122 54.0 62.0 72.0 8.0 10.0
0.0013316513038004038 54.0 62.0 74.0 8.0 12.0
0.001327419592009723 54.0 62.0 76.0 8.0 14.0
0.0013242960865415953 54.0 62.0 78.0 8.0 16.0
0.0013230021145825312 54.0 62.0 80.0 8.0 18.0
0.001321183835892969 54.0 62.0 82.0 8.0 20.0
0.001319759856393337 54.0 62.0 84.0 8.0 22.0
0.001318596531298469 54.0 62.0 86.0 8.0 24.0
0.0013179879779161667 54.0 62.0 88.0 8.0 26.0
0.0013310496112862306 54.0 64.0 72.0 10.0 8.0
0.0013259525617676173 54.0 64.0 74.0 10.0 10.0
0.0013224089470692032 54.0 64.0 76.0 10.0 12.0
0.0013199482810678433 54.0 64.0 78.0 10.0 14.0
0.0013192935937065104 54.0 64.0 80.0 10.0 16.0
0.0013179132666746984 54.0 64.0 82.0 10.0 18.0
0.001316857273104466 54.0 64.0 84.0 10.0 20.0
0.0013160139527908803 54.0 64.0 86.0 10.0 22.0
0.0013156942521864016 54.0 64.0 88.0 10.0 24.0
0.0013260803006392454 54.0 66.0 72.0 12.0 6.0
0.0013213437855254717 54.0 66.0 74.0 12.0 8.0
0.0013183437534663599 54.0 66.0 76.0 12.0 10.0
0.001316376939798461 54.0 66.0 78.0 12.0 12.0
0.0013163100075643927 54.0 66.0 80.0 12.0 14.0
0.0013152647607740826 54.0 66.0 82.0 12.0 16.0
0.0013145186074633051 54.0 66.0 84.0 12.0 18.0
0.001313942279724614 54.0 66.0 86.0 12.0 20.0
0.001313880417969073 54.0 66.0 88.0 12.0 22.0
0.001322744881171239 54.0 68.0 72.0 14.0 4.0
0.0013181059011271843 54.0 68.0 74.0 14.0 6.0
0.0013154454298952023 54.0 68.0 76.0 14.0 8.0
0.0013139259291976826 54.0 68.0 78.0 14.0 10.0
0.0013144215133134894 54.0 68.0 80.0 14.0 12.0
0.0013136437214720824 54.0 68.0 82.0 14.0 14.0
0.0013131139491032759 54.0 68.0 84.0 14.0 16.0
0.0013127252417423014 54.0 68.0 86.0 14.0 18.0
0.0013128361672940687 54.0 68.0 88.0 14.0 20.0
0.0013181061768236756 54.0 70.0 72.0 16.0 2.0
0.0013139378181464517 54.0 70.0 74.0 16.0 4.0
0.0013121491657419034 54.0 70.0 76.0 16.0 6.0
0.0013112708538429473 54.0 70.0 78.0 16.0 8.0
0.0013125217494490602 54.0 70.0 80.0 16.0 10.0
0.0013120448818897577 54.0 70.0 82.0 16.0 12.0
0.0013117727109752968 54.0 70.0 84.0 16.0 14.0
0.0013115692948819562 54.0 70.0 86.0 16.0 16.0
0.0013119142936153976 54.0 70.0 88.0 16.0 18.0
0.001311499406318309 54.0 72.0 74.0 18.0 2.0
0.0013104576582080594 54.0 72.0 76.0 18.0 4.0
0.0013100253926245906 54.0 72.0 78.0 18.0 6.0
0.0013119714620606132 54.0 72.0 80.0 18.0 8.0
0.0013115930885385146 54.0 72.0 82.0 18.0 10.0
0.001311438977044644 54.0 72.0 84.0 18.0 12.0
0.0013113268691421261 54.0 72.0 86.0 18.0 14.0
0.0013118070139519686 54.0 72.0 88.0 18.0 16.0
0.001311355423050306 54.0 74.0 76.0 20.0 2.0
0.0013102240166184115 54.0 74.0 78.0 20.0 4.0
0.001312781125652911 54.0 74.0 80.0 20.0 6.0
0.0013122128662163427 54.0 74.0 82.0 20.0 8.0
0.001311994523418246 54.0 74.0 84.0 20.0 10.0
0.0013118501737407228 54.0 74.0 86.0 20.0 12.0
0.0013123886171053558 54.0 74.0 88.0 20.0 14.0
0.0013110063689479607 54.0 76.0 78.0 22.0 2.0
0.001314748114451215 54.0 76.0 80.0 22.0 4.0
0.0013134022838139773 54.0 76.0 82.0 22.0 6.0
0.001312889343867016 54.0 76.0 84.0 22.0 8.0
0.0013126087286461665 54.0 76.0 86.0 22.0 10.0
0.0013131813539524128 54.0 76.0 88.0 22.0 12.0
0.0013201467757205294 54.0 78.0 80.0 24.0 2.0
0.0013153882395043248 54.0 78.0 82.0 24.0 4.0
0.0013140773303935455 54.0 78.0 84.0 24.0 6.0
0.001313506146474642 54.0 78.0 86.0 24.0 8.0
0.0013140960862303712 54.0 78.0 88.0 24.0 10.0
0.0013245146962680473 56.0 62.0 72.0 6.0 10.0
0.0013189656895441675 56.0 62.0 74.0 6.0 12.0
0.0013149390381968357 56.0 62.0 76.0 6.0 14.0
0.0013120949922003039 56.0 62.0 78.0 6.0 16.0
0.0013110470928046852 56.0 62.0 80.0 6.0 18.0
0.0013093970779965874 56.0 62.0 82.0 6.0 20.0
0.0013081326761310665 56.0 62.0 84.0 6.0 22.0
0.0013071331929985432 56.0 62.0 86.0 6.0 24.0
0.001306684235199739 56.0 62.0 88.0 6.0 26.0
0.0013186976726990032 56.0 64.0 72.0 8.0 8.0
0.001313850175480559 56.0 64.0 74.0 8.0 10.0
0.001310423096593503 56.0 64.0 76.0 8.0 12.0
0.0013081485025617423 56.0 64.0 78.0 8.0 14.0
0.0013077127795879204 56.0 64.0 80.0 8.0 16.0
0.0013064792467569232 56.0 64.0 82.0 8.0 18.0
0.0013055551029987156 56.0 64.0 84.0 8.0 20.0
0.0013048476112728757 56.0 64.0 86.0 8.0 22.0
0.0013046730764435474 56.0 64.0 88.0 8.0 24.0
0.001313846534348682 56.0 66.0 72.0 10.0 6.0
0.0013094042965721689 56.0 66.0 74.0 10.0 8.0
