norm_stdev r_source r_in r_out "rIn - r" "rOut - rIn"
0.001808031204476203 30.0 50.0 70.0 20.0 20.0
0.001645298417763986 30.0 50.0 80.0 20.0 30.0
0.0015826809106712237 30.0 50.0 90.0 20.0 40.0
0.0015529368078770192 30.0 50.0 100.0 20.0 50.0
0.0015368523473500324 30.0 50.0 110.0 20.0 60.0
0.0015281876926115162 30.0 50.0 120.0 20.0 70.0
0.0015230515688812027 30.0 50.0 130.0 20.0 80.0
0.0015200149368542895 30.0 50.0 140.0 20.0 90.0
0.0015185480765682186 30.0 50.0 150.0 20.0 100.0
0.0015186326794849707 30.0 50.0 160.0 20.0 110.0
0.001576599223102696 30.0 60.0 70.0 30.0 10.0
0.0015254040531284853 30.0 60.0 80.0 30.0 20.0
0.0015072440919060405 30.0 60.0 90.0 30.0 30.0
0.0015001528419748475 30.0 60.0 100.0 30.0 40.0
0.001497561749684978 30.0 60.0 110.0 30.0 50.0
0.0014976859798019149 30.0 60.0 120.0 30.0 60.0
0.0014986044222696296 30.0 60.0 130.0 30.0 70.0
0.0014999888895176564 30.0 60.0 140.0 30.0 80.0
0.0015018537992815622 30.0 60.0 150.0 30.0 90.0
0.001504452645141077 30.0 60.0 160.0 30.0 100.0
0.001490238331113851 30.0 70.0 80.0 40.0 10.0
0.0014858584388858422 30.0 70.0 90.0 40.0 20.0
0.0014861392841914725 30.0 70.0 100.0 40.0 30.0
0.0014879759275330212 30.0 70.0 110.0 40.0 40.0
0.001490982135644109 30.0 70.0 120.0 40.0 50.0
0.001493815331283855 30.0 70.0 130.0 40.0 60.0
0.001496572540666211 30.0 70.0 140.0 40.0 70.0
0.0014993977422521738 30.0 70.0 150.0 40.0 80.0
0.0015027662106282375 30.0 70.0 160.0 40.0 90.0
0.0014838492631051067 30.0 80.0 90.0 50.0 10.0
0.0014863692175886294 30.0 80.0 100.0 50.0 20.0
0.0014893076813801277 30.0 80.0 110.0 50.0 30.0
0.00149309413954235 30.0 80.0 120.0 50.0 40.0
0.0014963624654586475 30.0 80.0 130.0 50.0 50.0
0.0014993106528818616 30.0 80.0 140.0 50.0 60.0
0.0015022688656961536 30.0 80.0 150.0 50.0 70.0
0.001505675799913792 30.0 80.0 160.0 50.0 80.0
0.001490162441289863 30.0 90.0 100.0 60.0 10.0
0.001493341531063735 30.0 90.0 110.0 60.0 20.0
0.0014973947879276422 30.0 90.0 120.0 60.0 30.0
0.0015006443348559988 30.0 90.0 130.0 60.0 40.0
0.0015034818727578062 30.0 90.0 140.0 60.0 50.0
0.0015063305352218481 30.0 90.0 150.0 60.0 60.0
0.00150954957189207 30.0 90.0 160.0 60.0 70.0
0.0014977366817543994 30.0 100.0 110.0 70.0 10.0
0.0015019451614517302 30.0 100.0 120.0 70.0 20.0
0.0015050912985919685 30.0 100.0 130.0 70.0 30.0
0.0015077073297689837 30.0 100.0 140.0 70.0 40.0
0.001510344733405447 30.0 100.0 150.0 70.0 50.0
0.0015134730486743506 30.0 100.0 160.0 70.0 60.0
0.0015070644875401801 30.0 110.0 120.0 80.0 10.0
0.0015097898094568103 30.0 110.0 130.0 80.0 20.0
0.0015119877717248232 30.0 110.0 140.0 80.0 30.0
0.0015143567202803663 30.0 110.0 150.0 80.0 40.0
0.0015173638615273292 30.0 110.0 160.0 80.0 50.0
0.0015135249575953635 30.0 120.0 130.0 90.0 10.0
0.001515369024821233 30.0 120.0 140.0 90.0 20.0
0.0015176801666147858 30.0 120.0 150.0 90.0 30.0
0.0015207562000654495 30.0 120.0 160.0 90.0 40.0
0.0015181085389287879 30.0 130.0 140.0 100.0 10.0
0.001520579653548344 30.0 130.0 150.0 100.0 20.0
0.0015238254030909427 30.0 130.0 160.0 100.0 30.0
