norm_stdev r_source r_in r_out "rIn - r" "rOut - rIn"
0.000500223598886085 62.0 72.0 82.0 10.0 10.0
0.0005006051005915539 62.0 72.0 84.0 10.0 12.0
0.0005004270351574419 62.0 72.0 86.0 10.0 14.0
0.0005004248748542458 62.0 72.0 88.0 10.0 16.0
0.0005000988563821356 62.0 72.0 90.0 10.0 18.0
0.0005001779260496995 62.0 72.0 92.0 10.0 20.0
0.0005001955573284474 62.0 72.0 94.0 10.0 22.0
0.0005002752600290992 62.0 72.0 96.0 10.0 24.0
0.000500162611807929 62.0 72.0 98.0 10.0 26.0
0.0005009669203611545 62.0 74.0 82.0 12.0 8.0
0.0005012825638660681 62.0 74.0 84.0 12.0 10.0
0.000500970782634422 62.0 74.0 86.0 12.0 12.0
0.000500897778407001 62.0 74.0 88.0 12.0 14.0
0.0005004810107404119 62.0 74.0 90.0 12.0 16.0
0.0005005325499013514 62.0 74.0 92.0 12.0 18.0
0.000500523356162673 62.0 74.0 94.0 12.0 20.0
0.0005005842665948109 62.0 74.0 96.0 12.0 22.0
0.0005004416215193456 62.0 74.0 98.0 12.0 24.0
0.0005001640569705516 62.0 76.0 82.0 14.0 6.0
0.000500794735393255 62.0 76.0 84.0 14.0 8.0
0.0005005574433169453 62.0 76.0 86.0 14.0 10.0
0.0005005679168105615 62.0 76.0 88.0 14.0 12.0
0.0005001664910239348 62.0 76.0 90.0 14.0 14.0
0.0005002807970876012 62.0 76.0 92.0 14.0 16.0
0.0005003133093321806 62.0 76.0 94.0 14.0 18.0
0.000500413315966621 62.0 76.0 96.0 14.0 20.0
0.0005002875932089486 62.0 76.0 98.0 14.0 22.0
0.0005010470067374745 62.0 78.0 82.0 16.0 4.0
0.0005015936556335214 62.0 78.0 84.0 16.0 6.0
0.0005011192699483311 62.0 78.0 86.0 16.0 8.0
0.000501023356120612 62.0 78.0 88.0 16.0 10.0
0.0005004936973701552 62.0 78.0 90.0 16.0 12.0
0.0005005863288347148 62.0 78.0 92.0 16.0 14.0
0.0005005920776330498 62.0 78.0 94.0 16.0 16.0
0.0005006777776120926 62.0 78.0 96.0 16.0 18.0
0.0005005206505914623 62.0 78.0 98.0 16.0 20.0
0.0004985234456108815 62.0 80.0 82.0 18.0 2.0
0.0005006369886338718 62.0 80.0 84.0 18.0 4.0
0.0005003650422872195 62.0 80.0 86.0 18.0 6.0
0.0005004741740246475 62.0 80.0 88.0 18.0 8.0
0.0004999872073741474 62.0 80.0 90.0 18.0 10.0
0.0005002023479335567 62.0 80.0 92.0 18.0 12.0
0.0005002827524256257 62.0 80.0 94.0 18.0 14.0
0.0005004286987609491 62.0 80.0 96.0 18.0 16.0
0.0005002935955920101 62.0 80.0 98.0 18.0 18.0
0.0005034938178477791 62.0 82.0 84.0 20.0 2.0
0.0005017037612617557 62.0 82.0 86.0 20.0 4.0
0.0005014085675927255 62.0 82.0 88.0 20.0 6.0
0.0005005741465447853 62.0 82.0 90.0 20.0 8.0
0.0005007205440618936 62.0 82.0 92.0 20.0 10.0
0.0005007341975579592 62.0 82.0 94.0 20.0 12.0
0.0005008418281905319 62.0 82.0 96.0 20.0 14.0
0.000500646782224937 62.0 82.0 98.0 20.0 16.0
0.0005004456989108531 62.0 84.0 86.0 22.0 2.0
0.0005007025356980739 62.0 84.0 88.0 22.0 4.0
0.0004998744352878 62.0 84.0 90.0 22.0 6.0
0.0005002498635668762 62.0 84.0 92.0 22.0 8.0
0.000500371203108279 62.0 84.0 94.0 22.0 10.0
0.0005005695335028618 62.0 84.0 96.0 22.0 12.0
0.0005003993895734204 62.0 84.0 98.0 22.0 14.0
0.0005014192388276107 62.0 86.0 88.0 24.0 2.0
0.0004998864179157024 62.0 86.0 90.0 24.0 4.0
0.0005004034372441847 62.0 86.0 92.0 24.0 6.0
0.0005005205724672936 62.0 86.0 94.0 24.0 8.0
0.0005007355871691822 62.0 86.0 96.0 24.0 10.0
0.0005005177204655147 62.0 86.0 98.0 24.0 12.0
0.0004987732315260734 62.0 88.0 90.0 26.0 2.0
0.0005001534119557216 62.0 88.0 92.0 26.0 4.0
0.0005004182362563311 62.0 88.0 94.0 26.0 6.0
0.0005007240934497541 62.0 88.0 96.0 26.0 8.0
0.0005004810023575632 62.0 88.0 98.0 26.0 10.0
0.0004987977857245346 64.0 72.0 82.0 8.0 10.0
0.00049920730737522 64.0 72.0 84.0 8.0 12.0
0.000499022597955358 64.0 72.0 86.0 8.0 14.0
0.0004990400381442789 64.0 72.0 88.0 8.0 16.0
0.0004987198218056869 64.0 72.0 90.0 8.0 18.0
0.000498823743354433 64.0 72.0 92.0 8.0 20.0
0.0004988584714898063 64.0 72.0 94.0 8.0 22.0
0.0004989539741256722 64.0 72.0 96.0 8.0 24.0
0.0004988502521242115 64.0 72.0 98.0 8.0 26.0
0.0004995879813944768 64.0 74.0 82.0 10.0 8.0
0.0004999278537437599 64.0 74.0 84.0 10.0 10.0
0.0004996038449151865 64.0 74.0 86.0 10.0 12.0
0.0004995512315255961 64.0 74.0 88.0 10.0 14.0
0.0004991382060098881 64.0 74.0 90.0 10.0 16.0
0.0004992122761856759 64.0 74.0 92.0 10.0 18.0
0.0004992183006485953 64.0 74.0 94.0 10.0 20.0
