norm_stdev r_source r_in r_out "rIn - r" "rOut - rIn"
0.0006184433328760465 30.0 50.0 70.0 20.0 20.0
0.000566844980175189 30.0 50.0 80.0 20.0 30.0
0.0005479586578518083 30.0 50.0 90.0 20.0 40.0
0.0005391405212842219 30.0 50.0 100.0 20.0 50.0
0.000534169725533588 30.0 50.0 110.0 20.0 60.0
0.000531069545213927 30.0 50.0 120.0 20.0 70.0
0.0005289225902872395 30.0 50.0 130.0 20.0 80.0
0.0005276186062661643 30.0 50.0 140.0 20.0 90.0
0.0005267736838898287 30.0 50.0 150.0 20.0 100.0
0.0005259308291068291 30.0 50.0 160.0 20.0 110.0
0.0005504280054453669 30.0 60.0 70.0 30.0 10.0
0.0005345254343421153 30.0 60.0 80.0 30.0 20.0
0.0005285600890789824 30.0 60.0 90.0 30.0 30.0
0.000525976548496148 30.0 60.0 100.0 30.0 40.0
0.0005245465388047303 30.0 60.0 110.0 30.0 50.0
0.0005236827471166307 30.0 60.0 120.0 30.0 60.0
0.0005230375032734419 30.0 60.0 130.0 30.0 70.0
0.0005228167651684922 30.0 60.0 140.0 30.0 80.0
0.0005227725017883659 30.0 60.0 150.0 30.0 90.0
0.0005225447338665458 30.0 60.0 160.0 30.0 100.0
0.0005249908368513225 30.0 70.0 80.0 40.0 10.0
0.0005225988159359875 30.0 70.0 90.0 40.0 20.0
0.0005219331093201763 30.0 70.0 100.0 40.0 30.0
0.0005216163153544139 30.0 70.0 110.0 40.0 40.0
0.0005214606941803437 30.0 70.0 120.0 40.0 50.0
0.0005212915966644991 30.0 70.0 130.0 40.0 60.0
0.0005214315070323134 30.0 70.0 140.0 40.0 70.0
0.0005216615823487359 30.0 70.0 150.0 40.0 80.0
0.000521633051456313 30.0 70.0 160.0 40.0 90.0
0.0005209413878279824 30.0 80.0 90.0 50.0 10.0
0.0005210283923719283 30.0 80.0 100.0 50.0 20.0
0.0005210734362155893 30.0 80.0 110.0 50.0 30.0
0.0005211280379254882 30.0 80.0 120.0 50.0 40.0
0.0005210797681912757 30.0 80.0 130.0 50.0 50.0
0.0005213359484621714 30.0 80.0 140.0 50.0 60.0
0.0005216528468217256 30.0 80.0 150.0 50.0 70.0
0.0005216824390234276 30.0 80.0 160.0 50.0 80.0
0.0005213484464733166 30.0 90.0 100.0 60.0 10.0
0.0005213648657868987 30.0 90.0 110.0 60.0 20.0
0.0005214131290228385 30.0 90.0 120.0 60.0 30.0
0.0005213408986857182 30.0 90.0 130.0 60.0 40.0
0.0005216309764984348 30.0 90.0 140.0 60.0 50.0
0.0005219782414018703 30.0 90.0 150.0 60.0 60.0
0.0005220203941732609 30.0 90.0 160.0 60.0 70.0
0.0005216047953916575 30.0 100.0 110.0 70.0 10.0
0.0005216619566126728 30.0 100.0 120.0 70.0 20.0
0.0005215684524921161 30.0 100.0 130.0 70.0 30.0
0.0005219210508331651 30.0 100.0 140.0 70.0 40.0
0.0005223157749781449 30.0 100.0 150.0 70.0 50.0
0.000522380823647663 30.0 100.0 160.0 70.0 60.0
0.0005219100014636457 30.0 110.0 120.0 80.0 10.0
0.0005217647160798046 30.0 110.0 130.0 80.0 20.0
0.0005222291435749118 30.0 110.0 140.0 80.0 30.0
0.0005226898921804496 30.0 110.0 150.0 80.0 40.0
0.0005227914047588137 30.0 110.0 160.0 80.0 50.0
0.0005218414519495451 30.0 120.0 130.0 90.0 10.0
0.0005225812664140642 30.0 120.0 140.0 90.0 20.0
0.0005231351114643279 30.0 120.0 150.0 90.0 30.0
0.0005232828949722072 30.0 120.0 160.0 90.0 40.0
0.0005234625973187445 30.0 130.0 140.0 100.0 10.0
0.0005239064607774316 30.0 130.0 150.0 100.0 20.0
0.0005240497950780563 30.0 130.0 160.0 100.0 30.0
0.0005245136868731665 30.0 140.0 150.0 110.0 10.0
0.0005248349394853791 30.0 140.0 160.0 110.0 20.0
0.0006920295630826681 40.0 50.0 70.0 10.0 20.0
0.0006216304218787503 40.0 50.0 80.0 10.0 30.0
0.0005941960722586274 40.0 50.0 90.0 10.0 40.0
0.000580641619792615 40.0 50.0 100.0 10.0 50.0
0.0005727974380330824 40.0 50.0 110.0 10.0 60.0
0.0005677330551667489 40.0 50.0 120.0 10.0 70.0
0.000564216499358183 40.0 50.0 130.0 10.0 80.0
0.0005618909831671939 40.0 50.0 140.0 10.0 90.0
0.0005602726059226588 40.0 50.0 150.0 10.0 100.0
0.0005587428599139726 40.0 50.0 160.0 10.0 110.0
0.0005968949851550475 40.0 60.0 70.0 20.0 10.0
0.0005733004777391281 40.0 60.0 80.0 20.0 20.0
0.0005640593198220719 40.0 60.0 90.0 20.0 30.0
0.0005596707647744162 40.0 60.0 100.0 20.0 40.0
0.0005571830772278754 40.0 60.0 110.0 20.0 50.0
0.0005555632499652727 40.0 60.0 120.0 20.0 60.0
0.0005544161570425435 40.0 60.0 130.0 20.0 70.0
0.0005538205504701806 40.0 60.0 140.0 20.0 80.0
0.0005535004489695614 40.0 60.0 150.0 20.0 90.0
0.000552965015806696 40.0 60.0 160.0 20.0 100.0
0.0005576790974256077 40.0 70.0 80.0 30.0 10.0
0.0005540750769923846 40.0 70.0 90.0 30.0 20.0
0.0005527011748576 40.0 70.0 100.0 30.0 30.0
0.0005520134625704576 40.0 70.0 110.0 30.0 40.0
0.0005515624450433882 40.0 70.0 120.0 30.0 50.0
0.0005512113888263395 40.0 70.0 130.0 30.0 60.0
0.0005512166552840711 40.0 70.0 140.0 30.0 70.0
0.0005513484282138675 40.0 70.0 150.0 30.0 80.0
0.0005511498599017776 40.0 70.0 160.0 30.0 90.0
0.0005513471929872865 40.0 80.0 90.0 40.0 10.0
0.000550998355844581 40.0 80.0 100.0 40.0 20.0
0.0005508650342575098 40.0 80.0 110.0 40.0 30.0
0.000550737655962649 40.0 80.0 120.0 40.0 40.0
0.0005506008762411166 40.0 80.0 130.0 40.0 50.0
0.0005507831606884441 40.0 80.0 140.0 40.0 60.0
0.0005510498117943322 40.0 80.0 150.0 40.0 70.0
0.0005509331926453654 40.0 80.0 160.0 40.0 80.0
0.0005509048957841204 40.0 90.0 100.0 50.0 10.0
0.0005508833759290418 40.0 90.0 110.0 50.0 20.0
0.0005507942861067826 40.0 90.0 120.0 50.0 30.0
0.0005506823195341795 40.0 90.0 130.0 50.0 40.0
0.0005509226735386137 40.0 90.0 140.0 50.0 50.0
0.0005512390152173189 40.0 90.0 150.0 50.0 60.0
0.0005511421108663984 40.0 90.0 160.0 50.0 70.0
0.0005510685221096331 40.0 100.0 110.0 60.0 10.0
0.0005509548577967969 40.0 100.0 120.0 60.0 20.0
0.0005508295249773846 40.0 100.0 130.0 60.0 30.0
0.000551137679722581 40.0 100.0 140.0 60.0 40.0
0.0005515082736513248 40.0 100.0 150.0 60.0 50.0
0.0005514329776167511 40.0 100.0 160.0 60.0 60.0
0.0005510288992112362 40.0 110.0 120.0 70.0 10.0
0.0005509102932074336 40.0 110.0 130.0 70.0 20.0
0.0005513509433504464 40.0 110.0 140.0 70.0 30.0
0.0005518109356818947 40.0 110.0 150.0 70.0 40.0
0.0005517568698217136 40.0 110.0 160.0 70.0 50.0
0.000550998155292293 40.0 120.0 130.0 80.0 10.0
0.000551694763204034 40.0 120.0 140.0 80.0 20.0
0.0005522425230492657 40.0 120.0 150.0 80.0 30.0
0.0005522041099859405 40.0 120.0 160.0 80.0 40.0
0.0005525155236763168 40.0 130.0 140.0 90.0 10.0
0.0005529737747728618 40.0 130.0 150.0 90.0 20.0
0.000552876131559892 40.0 130.0 160.0 90.0 30.0
0.0005535782705796879 40.0 140.0 150.0 100.0 10.0
0.0005535132082981627 40.0 140.0 160.0 100.0 20.0
0.0005530570417451294 50.0 60.0 70.0 10.0 10.0
0.0005353575779338303 50.0 60.0 80.0 10.0 20.0
0.0005286679306150479 50.0 60.0 90.0 10.0 30.0
0.0005256363882710083 50.0 60.0 100.0 10.0 40.0
0.0005240278986235869 50.0 60.0 110.0 10.0 50.0
0.000523039746682675 50.0 60.0 120.0 10.0 60.0
0.0005223870441824207 50.0 60.0 130.0 10.0 70.0
0.0005222154670566422 50.0 60.0 140.0 10.0 80.0
0.0005222397340497307 50.0 60.0 150.0 10.0 90.0
0.0005220125680776049 50.0 60.0 160.0 10.0 100.0
0.0005245615958500639 50.0 70.0 80.0 20.0 10.0
0.0005218912371706335 50.0 70.0 90.0 20.0 20.0
0.0005210074211359245 50.0 70.0 100.0 20.0 30.0
0.0005206623966096204 50.0 70.0 110.0 20.0 40.0
0.0005204770161925502 50.0 70.0 120.0 20.0 50.0
0.0005203718378017442 50.0 70.0 130.0 20.0 60.0
0.0005206147506336228 50.0 70.0 140.0 20.0 70.0
0.0005209554622256787 50.0 70.0 150.0 20.0 80.0
0.0005209563337658366 50.0 70.0 160.0 20.0 90.0
0.000520010652851073 50.0 80.0 90.0 30.0 10.0
0.0005199142221729193 50.0 80.0 100.0 30.0 20.0
0.0005199960720416677 50.0 80.0 110.0 30.0 30.0
0.0005200560145694923 50.0 80.0 120.0 30.0 40.0
0.0005201055100409038 50.0 80.0 130.0 30.0 50.0
0.0005204891875069919 50.0 80.0 140.0 30.0 60.0
0.0005209309867954218 50.0 80.0 150.0 30.0 70.0
0.0005209963279505772 50.0 80.0 160.0 30.0 80.0
0.0005200708026593771 50.0 90.0 100.0 40.0 10.0
0.0005202389649464294 50.0 90.0 110.0 40.0 20.0
0.0005203171276700981 50.0 90.0 120.0 40.0 30.0
0.0005203728079265787 50.0 90.0 130.0 40.0 40.0
0.0005208062764865142 50.0 90.0 140.0 40.0 50.0
0.000521291172653164 50.0 90.0 150.0 40.0 60.0
0.0005213671124713722 50.0 90.0 160.0 40.0 70.0
0.000520624788859175 50.0 100.0 110.0 50.0 10.0
0.0005206547823718563 50.0 100.0 120.0 50.0 20.0
0.0005206890904676275 50.0 100.0 130.0 50.0 30.0
0.0005211924151238959 50.0 100.0 140.0 50.0 40.0
0.0005217226038176237 50.0 100.0 150.0 50.0 50.0
0.0005218114576444466 50.0 100.0 160.0 50.0 60.0
0.0005208773235481992 50.0 110.0 120.0 60.0 10.0
0.000520925266696769 50.0 110.0 130.0 60.0 20.0
0.0005215731913131157 50.0 110.0 140.0 60.0 30.0
0.0005221776571905483 50.0 110.0 150.0 60.0 40.0
0.00052229283663565 50.0 110.0 160.0 60.0 50.0
0.0005211950742232721 50.0 120.0 130.0 70.0 10.0
0.000522098195438061 50.0 120.0 140.0 70.0 20.0
0.000522780474378058 50.0 120.0 150.0 70.0 30.0
0.0005229083319274028 50.0 120.0 160.0 70.0 40.0
0.0005231301425197468 50.0 130.0 140.0 80.0 10.0
0.0005236860439408712 50.0 130.0 150.0 80.0 20.0
0.0005237672588199865 50.0 130.0 160.0 80.0 30.0
0.0005244035266683123 50.0 140.0 150.0 90.0 10.0
0.0005245876087091914 50.0 140.0 160.0 90.0 20.0
0.0005038414413170177 60.0 70.0 80.0 10.0 10.0
0.0005019231045945784 60.0 70.0 90.0 10.0 20.0
0.0005015934110643828 60.0 70.0 100.0 10.0 30.0
0.0005016893124993746 60.0 70.0 110.0 10.0 40.0
0.0005018820140721245 60.0 70.0 120.0 10.0 50.0
0.000502052675115508 60.0 70.0 130.0 10.0 60.0
0.0005026109051459805 60.0 70.0 140.0 10.0 70.0
0.0005032374716863418 60.0 70.0 150.0 10.0 80.0
0.0005034928410238781 60.0 70.0 160.0 10.0 90.0
0.0005008655958598087 60.0 80.0 90.0 20.0 10.0
0.0005011702537712547 60.0 80.0 100.0 20.0 20.0
0.0005015993872537544 60.0 80.0 110.0 20.0 30.0
0.0005019765403033919 60.0 80.0 120.0 20.0 40.0
0.0005022452349258728 60.0 80.0 130.0 20.0 50.0
0.0005029045322417147 60.0 80.0 140.0 20.0 60.0
0.0005036030927706062 60.0 80.0 150.0 20.0 70.0
0.0005039016310246634 60.0 80.0 160.0 20.0 80.0
0.0005017858601485502 60.0 90.0 100.0 30.0 10.0
0.0005022620279548621 60.0 90.0 110.0 30.0 20.0
0.000502623084450505 60.0 90.0 120.0 30.0 30.0
0.0005028562425406223 60.0 90.0 130.0 30.0 40.0
0.0005035515986467948 60.0 90.0 140.0 30.0 50.0
0.0005042729745844794 60.0 90.0 150.0 30.0 60.0
0.0005045765999813762 60.0 90.0 160.0 30.0 70.0
0.0005030120838127845 60.0 100.0 110.0 40.0 10.0
0.0005033030434116083 60.0 100.0 120.0 40.0 20.0
0.0005034770792916509 60.0 100.0 130.0 40.0 30.0
0.000504233555468192 60.0 100.0 140.0 40.0 40.0
0.000504994790368168 60.0 100.0 150.0 40.0 50.0
0.0005053172337511127 60.0 100.0 160.0 40.0 60.0
0.0005038485282435219 60.0 110.0 120.0 50.0 10.0
0.0005039754543447635 60.0 110.0 130.0 50.0 20.0
0.0005048834581257957 60.0 110.0 140.0 50.0 30.0
0.0005057214562939429 60.0 110.0 150.0 50.0 40.0
0.0005060869768665048 60.0 110.0 160.0 50.0 50.0
0.0005044024673774932 60.0 120.0 130.0 60.0 10.0
0.0005056463223825681 60.0 120.0 140.0 60.0 20.0
0.0005065740396350756 60.0 120.0 150.0 60.0 30.0
0.0005069971421701285 60.0 120.0 160.0 60.0 40.0
0.0005070698722750809 60.0 130.0 140.0 70.0 10.0
0.0005078189297353311 60.0 130.0 150.0 70.0 20.0
0.000508251697752538 60.0 130.0 160.0 70.0 30.0
0.0005087920844992544 60.0 140.0 150.0 80.0 10.0
0.0005095272054116553 60.0 140.0 160.0 80.0 20.0
0.0004989295559708777 70.0 80.0 90.0 10.0 10.0
0.000499603090788149 70.0 80.0 100.0 10.0 20.0
0.0005004677690436774 70.0 80.0 110.0 10.0 30.0
0.0005012576961575376 70.0 80.0 120.0 10.0 40.0
0.0005019065909050967 70.0 80.0 130.0 10.0 50.0
0.0005030551934635299 70.0 80.0 140.0 10.0 60.0
0.0005042613189662492 70.0 80.0 150.0 10.0 70.0
0.0005050399187111592 70.0 80.0 160.0 10.0 80.0
0.0005007762670301814 70.0 90.0 100.0 20.0 10.0
