norm_stdev r_source r_in r_out "rIn - r" "rOut - rIn"
0.0011200002636709092 30.0 50.0 70.0 20.0 20.0
0.001149528842362326 30.0 50.0 80.0 20.0 30.0
0.001164512971815829 30.0 50.0 90.0 20.0 40.0
0.0011740420555170032 30.0 50.0 100.0 20.0 50.0
0.0011807474625427825 30.0 50.0 110.0 20.0 60.0
0.0011875175675447277 30.0 50.0 120.0 20.0 70.0
0.0011941167876223585 30.0 50.0 130.0 20.0 80.0
0.0012006768032876173 30.0 50.0 140.0 20.0 90.0
0.001207807837101132 30.0 50.0 150.0 20.0 100.0
0.001213865697160339 30.0 50.0 160.0 20.0 110.0
0.0011572760107888117 30.0 60.0 70.0 30.0 10.0
0.001176870448629647 30.0 60.0 80.0 30.0 20.0
0.0011842316164534438 30.0 60.0 90.0 30.0 30.0
0.0011889609200493253 30.0 60.0 100.0 30.0 40.0
0.0011924950817695874 30.0 60.0 110.0 30.0 50.0
0.0011971664220655996 30.0 60.0 120.0 30.0 60.0
0.0012022390352449082 30.0 60.0 130.0 30.0 70.0
0.0012076537366886263 30.0 60.0 140.0 30.0 80.0
0.0012139281273291825 30.0 60.0 150.0 30.0 90.0
0.0012192879408193908 30.0 60.0 160.0 30.0 100.0
0.001193506346890364 30.0 70.0 80.0 40.0 10.0
0.0011950315883117847 30.0 70.0 90.0 40.0 20.0
0.00119701620586794 30.0 70.0 100.0 40.0 30.0
0.0011988878807718713 30.0 70.0 110.0 40.0 40.0
0.0012026486407510618 30.0 70.0 120.0 40.0 50.0
0.0012071188654331243 30.0 70.0 130.0 40.0 60.0
0.0012121040759396624 30.0 70.0 140.0 40.0 70.0
0.0012180871021890253 30.0 70.0 150.0 40.0 80.0
0.001223150783086428 30.0 70.0 160.0 40.0 90.0
0.001196915023350105 30.0 80.0 90.0 50.0 10.0
0.0011990201529991813 30.0 80.0 100.0 50.0 20.0
0.0012008211016137215 30.0 80.0 110.0 50.0 30.0
0.001204819629908765 30.0 80.0 120.0 50.0 40.0
0.0012094709451669163 30.0 80.0 130.0 50.0 50.0
0.001214592707930962 30.0 80.0 140.0 50.0 60.0
0.0012207219538061926 30.0 80.0 150.0 50.0 70.0
0.0012257846454886926 30.0 80.0 160.0 50.0 80.0
0.001201329609547468 30.0 90.0 100.0 60.0 10.0
0.0012028697726247858 30.0 90.0 110.0 60.0 20.0
0.001207302771501802 30.0 90.0 120.0 60.0 30.0
0.001212226470165386 30.0 90.0 130.0 60.0 40.0
0.0012175192692919763 30.0 90.0 140.0 60.0 50.0
0.001223825231101833 30.0 90.0 150.0 60.0 60.0
0.0012288620585205576 30.0 90.0 160.0 60.0 70.0
0.001204525126199998 30.0 100.0 110.0 70.0 10.0
0.0012101453136507169 30.0 100.0 120.0 70.0 20.0
0.0012155007855903924 30.0 100.0 130.0 70.0 30.0
0.0012209994022876706 30.0 100.0 140.0 70.0 40.0
0.0012275077870597788 30.0 100.0 150.0 70.0 50.0
0.0012324573247535961 30.0 100.0 160.0 70.0 60.0
0.0012155495794232275 30.0 110.0 120.0 80.0 10.0
0.0012205882531731846 30.0 110.0 130.0 80.0 20.0
0.0012258908451168637 30.0 110.0 140.0 80.0 30.0
0.0012324083324741079 30.0 110.0 150.0 80.0 40.0
0.0012370400613292867 30.0 110.0 160.0 80.0 50.0
0.0012254398266135233 30.0 120.0 130.0 90.0 10.0
0.0012306601027023715 30.0 120.0 140.0 90.0 20.0
0.0012373761340001928 30.0 120.0 150.0 90.0 30.0
0.0012416341980687987 30.0 120.0 160.0 90.0 40.0
0.0012356296998121438 30.0 130.0 140.0 100.0 10.0
0.001242858011286223 30.0 130.0 150.0 100.0 20.0
0.0012464528000654853 30.0 130.0 160.0 100.0 30.0
0.001249762719658644 30.0 140.0 150.0 110.0 10.0
0.001251506127042538 30.0 140.0 160.0 110.0 20.0
0.0010454787710453817 40.0 50.0 70.0 10.0 20.0
0.001065416201930554 40.0 50.0 80.0 10.0 30.0
0.0010791267529675456 40.0 50.0 90.0 10.0 40.0
0.0010887719363357443 40.0 50.0 100.0 10.0 50.0
0.0010959955076351453 40.0 50.0 110.0 10.0 60.0
0.0011029747991641253 40.0 50.0 120.0 10.0 70.0
0.001109732699123626 40.0 50.0 130.0 10.0 80.0
0.001116583592658747 40.0 50.0 140.0 10.0 90.0
0.0011238984141253492 40.0 50.0 150.0 10.0 100.0
0.0011299415999786622 40.0 50.0 160.0 10.0 110.0
0.0010744136575025483 40.0 60.0 70.0 20.0 10.0
0.0010917854279266625 40.0 60.0 80.0 20.0 20.0
0.0010992212835059744 40.0 60.0 90.0 20.0 30.0
0.001104371977912903 40.0 60.0 100.0 20.0 40.0
0.001108446532454608 40.0 60.0 110.0 20.0 50.0
0.0011132835703326536 40.0 60.0 120.0 20.0 60.0
0.0011184669020189056 40.0 60.0 130.0 20.0 70.0
0.001124124251132737 40.0 60.0 140.0 20.0 80.0
0.001130525337851552 40.0 60.0 150.0 20.0 90.0
0.0011358345367670254 40.0 60.0 160.0 20.0 100.0
0.0011074975689393432 40.0 70.0 80.0 30.0 10.0
0.0011097578042172105 40.0 70.0 90.0 30.0 20.0
0.001112394707058919 40.0 70.0 100.0 30.0 30.0
0.0011149204886900723 40.0 70.0 110.0 30.0 40.0
0.0011188533440432296 40.0 70.0 120.0 30.0 50.0
0.0011234294368317262 40.0 70.0 130.0 30.0 60.0
0.001128665405668154 40.0 70.0 140.0 30.0 70.0
0.0011347827982794408 40.0 70.0 150.0 30.0 80.0
0.0011397840981807296 40.0 70.0 160.0 30.0 90.0
0.001112314996254448 40.0 80.0 90.0 40.0 10.0
